image,object,center_x,center_y,area,drone_lat,drone_lon,heading,object_lat,object_lon,north_offset_m,east_offset_m
0,0,1796.0,1006.5,2653.0,55.4762708,10.328606,274.0,55.47628927116714,10.32856528320756,2.0562009200379934,-2.5688242011540816
1,0,2009.5,1839.5,2711.0,55.4762088,10.3283813,229.0,55.47628182452196,10.328422397816514,8.129052600048567,2.5928671052800984
1,1,2862.0,1796.0,2106.0,55.4762088,10.3283813,229.0,55.476348104165716,10.32830977416451,15.507268792594479,-4.512575162169078
1,2,2065.0,1661.0,2056.0,55.4762088,10.3283813,229.0,55.476273715952175,10.32838984878193,7.226410740379269,0.5393438711352432
1,3,2524.5,1615.0,2105.5,55.4762088,10.3283813,229.0,55.47630784586073,10.328325906793426,11.025734781724873,-3.4947653030013837
1,4,3104.0,1619.5,3553.0,55.4762088,10.3283813,229.0,55.47635530994425,10.328254239810558,16.309412390159515,-8.016245473269342
1,5,2958.5,1648.0,6883.5,55.4762088,10.3283813,229.0,55.47634548820746,10.328276487180476,15.216061651005308,-6.612655732215727
1,6,3199.0,1415.0,5100.5,55.4762088,10.3283813,229.0,55.476348576173464,10.328213029496318,15.559812454470773,-10.616210076185203
1,7,2162.5,1396.5,4376.0,55.4762088,10.3283813,229.0,55.476262942266985,10.32833971357633,6.027089591224041,-2.623693400410729
1,8,3201.0,1284.0,6185.5,55.4762088,10.3283813,229.0,55.47633947433733,10.328193975031914,14.546600690823041,-11.818358952991172
1,9,3058.0,1254.5,2693.5,55.4762088,10.3283813,229.0,55.47632575412962,10.328207584608096,13.019274154898124,-10.959728850642323
1,10,3015.0,1180.5,2869.0,55.4762088,10.3283813,229.0,55.476317022410186,10.328202327754418,12.047263593759602,-11.29138449892104
1,11,2990.0,1048.0,2575.0,55.4762088,10.3283813,229.0,55.47630561787787,10.328186427163896,10.777716863597867,-12.294555022778098
1,12,3222.0,351.5,3199.5,55.4762088,10.3283813,229.0,55.476275234789796,10.328057495278971,7.395486970635403,-20.4288860309896
2,0,2061.0,2134.5,4258.0,55.4761653,10.3283473,162.0,55.47624380187019,10.328218097842038,8.738788215894276,-8.151391569403796
