55.47622311,10.32859823
55.47624481,10.32864872
55.47624624,10.32881926
55.47624738,10.32866641
55.47626617,10.32870671
55.47628186,10.32889493
55.47628331,10.32875590
55.47629815,10.32879509
55.47631609,10.32884272
55.47632426,10.32860194
55.47632455,10.32887051
55.47633013,10.32862179
55.47632688,10.32888809
55.47633477,10.32863229
55.47633534,10.32860421
55.47633691,10.32861873
55.47634309,10.32862697
55.47629032,10.32873600
55.47634283,10.32859838
55.47627753,10.32882485
55.47628682,10.32884527
55.47629435,10.32886102
55.47629585,10.32883132
55.47629795,10.32881668
55.47630312,10.32885788
55.47630698,10.32883987
55.47631549,10.32885876
55.47628403,10.32841920
55.47629556,10.32840366
55.47631023,10.32845849
55.47637490,10.32859328
55.47636257,10.32856144
55.47649608,10.32853586
55.47650812,10.32851706
55.47651219,10.32852045
55.47652362,10.32850165
55.47648577,10.32855121
55.47650332,10.32853113
55.47646423,10.32854089
55.47648269,10.32857623
55.47648999,10.32856940
55.47638029,10.32835973
55.47631564,10.32815965
55.47632032,10.32817207
55.47639418,10.32824819
55.47640887,10.32802909
55.47641304,10.32824565
55.47643448,10.32819378
55.47644616,10.32814498
55.47638156,10.32822456
55.47637967,10.32803340
55.47611868,10.32844678
55.47612623,10.32846768
55.47612663,10.32847893
55.47613249,10.32850089
55.47615724,10.32850205
55.47616968,10.32851054
55.47617951,10.32851054
55.47608448,10.32845185
55.47608500,10.32843367
55.47609323,10.32836126
55.47613161,10.32849863
55.47613890,10.32850702
55.47614053,10.32855692
55.47620713,10.32856064
55.47607426,10.32857320
55.47607574,10.32856903
55.47611416,10.32827645
55.47612734,10.32831489
55.47614466,10.32855044
55.47620124,10.32851683
55.47620796,10.32849849
55.47620742,10.32855481
55.47620639,10.32853773
55.47620856,10.32850994
55.47612785,10.32824319
55.47603332,10.32847969
55.47613869,10.32823293
55.47611316,10.32831741
55.47614235,10.32825594
55.47613737,10.32826838
55.47614102,10.32828336
55.47614570,10.32828335
55.47612906,10.32828685
55.47616185,10.32825610
55.47614422,10.32830225
55.47615796,10.32827521
55.47613449,10.32832904
55.47616705,10.32827202
55.47605014,10.32849466
55.47614692,10.32832509
55.47615739,10.32830498
55.47614058,10.32834410
55.47606331,10.32852627
55.47614286,10.32836796
55.47616037,10.32834630
55.47615256,10.32837424
55.47615788,10.32839225
55.47618749,10.32834977
55.47617229,10.32839624
55.47615888,10.32842104
55.47616735,10.32842730
55.47618563,10.32841205
55.47617579,10.32844750
55.47620790,10.32839482
55.47618386,10.32845697
55.47621373,10.32841272
55.47618691,10.32846572
55.47618076,10.32849747
55.47619734,10.32845345
55.47618517,10.32850977
55.47619396,10.32849023
55.47620655,10.32845494
55.47621510,10.32844025
55.47616154,10.32830528
55.47611275,10.32830799
55.47617577,10.32831318
55.47611717,10.32832036
55.47617071,10.32832228
55.47617812,10.32832341
55.47618972,10.32832949
55.47620433,10.32835562
55.47617713,10.32835545
55.47618293,10.32836859
55.47619993,10.32837108
55.47619021,10.32837364
55.47615091,10.32834254
55.47620509,10.32837193
55.47619643,10.32838039
55.47620775,10.32839054
55.47621520,10.32841172
55.47617252,10.32838715
55.47616744,10.32842651
55.47622416,10.32842788
55.47617797,10.32844905
55.47618167,10.32848909
55.47605052,10.32848951
55.47606685,10.32853087
55.47606468,10.32849591
55.47620242,10.32847086
55.47611807,10.32823803
55.47620215,10.32837065
55.47612322,10.32830179
55.47612721,10.32831750
55.47614173,10.32835834
55.47617706,10.32843704
55.47618497,10.32849305
55.47616370,10.32839164
55.47616168,10.32861830
55.47605389,10.32843539
55.47620986,10.32852615
55.47619834,10.32827419
55.47619303,10.32849215
55.47618061,10.32843122
55.47613011,10.32832468
55.47616851,10.32839365
55.47612505,10.32831041
55.47609199,10.32853571
55.47619666,10.32845776
55.47615310,10.32830361
55.47618679,10.32842640
55.47618321,10.32842148
55.47616082,10.32833783
55.47616344,10.32835810
55.47615351,10.32832114
55.47615836,10.32835303
55.47613845,10.32827994
55.47615481,10.32835977
55.47616665,10.32837910
55.47614505,10.32834407
55.47614414,10.32832815
55.47613425,10.32832056
55.47612837,10.32829794
55.47615545,10.32850938
55.47609909,10.32860338
55.47608471,10.32854275
55.47607207,10.32855833
55.47609048,10.32856350
55.47619900,10.32854733
55.47618596,10.32856317
55.47612470,10.32862397
55.47609389,10.32850966
55.47599701,10.32883921
55.47600841,10.32886709
55.47596251,10.32876149
55.47594871,10.32878068
