image,object,center_x,center_y,area,drone_lat,drone_lon,heading,object_lat,object_lon,north_offset_m,east_offset_m
0,0,269.0,2287.0,21588.0,55.4762832,10.328736,0.0,55.47622785299871,10.328609091820981,-6.1612,-8.006639999999999
0,1,771.5,1906.0,2900.0,55.4762832,10.328736,0.0,55.47624784087311,10.328655606306725,-3.9361599999999997,-5.072039999999999
0,2,2468.5,1881.0,3689.5,55.4762832,10.328736,0.0,55.47624915241342,10.328812691047641,-3.7901599999999998,4.838439999999999
0,3,947.5,1861.0,6876.5,55.4762832,10.328736,0.0,55.476250201645676,10.328671897947505,-3.6733599999999997,-4.0442
0,4,1348.5,1531.0,3440.5,55.4762832,10.328736,0.0,55.47626751397783,10.32870901696996,-1.74616,-1.7023599999999999
0,5,3221.5,1255.5,2295.0,55.4762832,10.328736,0.0,55.476281967152104,10.328882393351654,-0.13724,9.23596
0,6,1838.0,1230.0,3011.0,55.4762832,10.328736,0.0,55.47628330492322,10.328754328095876,0.01168,1.15632
0,7,2228.0,969.5,9188.5,55.4762832,10.328736,0.0,55.476296971173305,10.328790428890782,1.533,3.4339199999999996
0,8,2702.0,654.5,2609.5,55.4762832,10.328736,0.0,55.47631349658127,10.328834305241514,3.3726,6.20208
0,9,306.0,511.0,2619.0,55.4762832,10.328736,0.0,55.476321024822674,10.328612516768189,4.21064,-7.790559999999999
0,10,2978.5,506.0,6673.5,55.4762832,10.328736,0.0,55.47632128713074,10.328859899779443,4.23984,7.81684
0,11,503.5,408.0,2318.0,55.4762832,10.328736,0.0,55.47632642836877,10.328630798580996,4.8121599999999995,-6.63716
0,12,3153.5,465.0,8849.0,55.4762832,10.328736,0.0,55.47632343805686,10.32887609885408,4.47928,8.83884
0,13,608.0,326.5,3912.0,55.4762832,10.328736,0.0,55.4763307039902,10.328640471742707,5.28812,-6.026879999999999
0,14,328.5,316.5,8624.0,55.4762832,10.328736,0.0,55.47633122860633,10.328614599506357,5.34652,-7.65916
0,15,473.0,289.0,5774.0,55.4762832,10.328736,0.0,55.476332671300675,10.328627975313701,5.50712,-6.81528
0,16,555.0,180.5,7851.5,55.4762832,10.328736,0.0,55.476338363385636,10.328635565737246,6.140759999999999,-6.336399999999999
0,17,1640.0,1107.0,3245908.5,55.4762832,10.328736,0.0,55.47628975770157,10.328736,0.73,0.0
0,18,270.5,185.0,55466.5,55.4762832,10.328736,0.0,55.47633812730838,10.32860923067019,6.1144799999999995,-7.997879999999999
1,0,2887.0,2403.5,4376.0,55.476343,10.3286975,359.0,55.47628269231131,10.328814805135488,-6.713421196442771,7.400772528807577
1,1,3093.0,2244.0,9921.5,55.476343,10.3286975,359.0,55.47629124727385,10.328833613212229,-5.7610871223181865,8.587372732440322
1,2,3252.0,2114.5,2292.0,55.476343,10.3286975,359.0,55.4762981855954,10.328848119801501,-4.988716700903907,9.50259240231435
1,3,2957.0,2083.0,2480.0,55.476343,10.3286975,359.0,55.47629956778799,10.328820766019145,-4.834851724713089,7.776844248410718
1,4,2812.0,2043.5,4684.5,55.476343,10.3286975,359.0,55.476301506946776,10.328807282140197,-4.618985556165505,6.926147299035334
1,5,3223.5,1960.0,4068.0,55.476343,10.3286975,359.0,55.47630626358599,10.328845232468863,-4.08947890104562,9.320430794652289
1,6,3045.5,1889.0,11834.5,55.476343,10.3286975,359.0,55.476309824819694,10.32882864347949,-3.6930441782656582,8.273832652778161
1,7,3236.0,1743.0,3834.5,55.476343,10.3286975,359.0,55.47631765746683,10.328846038806704,-2.821117888257906,9.371302590768865
3,0,225.0,1846.0,80691.5,55.4763204,10.3285603,359.0,55.47628689792816,10.328430330655342,-3.729433577219117,-8.1997612727878
4,0,1451.5,890.5,2077.0,55.4762763,10.3284232,359.0,55.47629404032497,10.328405202249234,1.974843942209681,-1.1354787180382226
4,1,2001.5,642.5,75214.0,55.4762763,10.3284232,359.0,55.476307552393095,10.328455705219302,3.4790004855351406,2.0507554095128597
12,0,3119.5,1434.0,2456.0,55.4763864,10.3284446,0.0,55.47637580275426,10.32858155196389,-1.1796799999999998,8.640279999999999
13,0,2064.5,2036.5,2502.0,55.4764088,10.3285202,1.0,55.47636621239646,10.32855818879182,-4.74083034094991,2.3967061319921457
14,0,1145.0,49.0,3527.5,55.4764287,10.3285856,0.0,55.4764907620877,10.328539779591157,6.90872,-2.8908
15,0,1018.5,375.0,4503.0,55.4764587,10.328578,1.0,55.47650422178826,10.328521863140747,5.067462288842826,-3.5416600005019996
15,1,1051.0,303.0,2300.5,55.4764587,10.328578,1.0,55.47650796869268,10.328524987412179,5.484565780960389,-3.3445505201025676
15,2,860.5,105.5,8674.5,55.4764587,10.328578,1.0,55.47651850270137,10.328507675232618,6.657206263763378,-4.436771472333193
16,0,1693.0,1371.5,7205.5,55.4764936,10.3285454,358.0,55.47648638310005,10.32855075370182,-0.8033816267365589,0.3377633707525438
16,1,1504.0,1056.5,2132.5,55.4764936,10.3285454,358.0,55.476502552404135,10.32853225164873,0.9965770701674174,-0.8295253626119737
17,0,2077.0,1717.5,7330.5,55.476491,10.3284953,358.0,55.47646634549905,10.32853729539648,-2.7445264921192645,2.649476582809428
18,0,3147.5,1070.5,6589.0,55.4764705,10.3284254,358.0,55.476481727446625,10.32856433738375,1.2498336414808071,8.765521153600783
18,1,3084.0,940.0,2225.0,55.4764705,10.3284254,358.0,55.4764884532554,10.328558041402799,1.9985472492114449,8.368309454882112
20,0,2446.0,2054.0,2790.5,55.4764263,10.3282773,359.0,55.47638392108095,10.328353225164506,-4.717599688447802,4.790103023062991
22,0,1938.0,2378.0,8957.5,55.4763806,10.3281277,359.0,55.47632076099194,10.328157131946593,-6.661247906540537,1.8568576142529922
22,1,2063.0,2298.0,2883.0,55.4763806,10.3281277,359.0,55.47632507172941,10.328168571740026,-6.181378806664254,2.578592667429659
22,2,2843.0,1014.5,3159.5,55.4763806,10.3281277,359.0,55.47639311010729,10.328238689009762,1.3926187728609125,7.002281932618492
22,3,667.5,718.5,4499.5,55.4763806,10.3281277,359.0,55.47640664453222,10.328036863353942,2.899264065022884,-5.730871974391591
22,4,2823.5,683.0,3879.5,55.4763806,10.3281277,359.0,55.47641048062928,10.328236348700266,3.3262964367308014,6.854632116327758
22,5,2314.0,297.5,3323.0,55.4763806,10.3281277,359.0,55.47643023501202,10.328188570540545,5.525344263484279,3.8403143446834345
22,6,1832.0,84.0,2688.5,55.4763806,10.3281277,359.0,55.47644099255018,10.3281436154353,6.722867933880894,1.0041027060993495
