0,55.4762832,10.3287360,24.11,0
1,55.4763430,10.3286975,25.36,359
2,55.4763514,10.3286614,25.78,359
3,55.4763204,10.3285603,25.83,359
4,55.4762763,10.3284232,25.76,359
5,55.4762438,10.3283152,25.78,1
6,55.4762428,10.3282619,25.75,1
7,55.4762763,10.3282096,25.77,1
8,55.4763035,10.3281747,25.86,359
9,55.4763226,10.3282262,25.89,0
10,55.4763426,10.3282961,25.90,0
11,55.4763636,10.3283703,25.92,359
12,55.4763864,10.3284446,25.98,0
13,55.4764088,10.3285202,26.02,1
14,55.4764287,10.3285856,25.93,0
15,55.4764587,10.3285780,26.01,1
16,55.4764936,10.3285454,26.03,358
17,55.4764910,10.3284953,25.92,358
18,55.4764705,10.3284254,25.90,358
19,55.4764483,10.3283526,25.89,359
20,55.4764263,10.3282773,25.78,359
21,55.4764030,10.3282005,25.85,359
22,55.4763806,10.3281277,25.93,359
23,55.4763631,10.3280907,26.03,0
24,55.4763320,10.3281364,25.99,1
25,55.4762974,10.3281877,25.94,0
26,55.4762613,10.3282429,26.00,359
27,55.4762237,10.3282963,26.08,0
28,55.4761866,10.3283492,26.10,0
29,55.4761528,10.3283997,26.04,0
30,55.4761401,10.3284190,25.98,0
31,55.4761373,10.3284248,26.29,36
32,55.4761368,10.3284273,26.89,89
33,55.4761369,10.3284265,27.01,131
34,55.4761403,10.3284301,27.00,179
35,55.4761224,10.3284666,25.16,154
36,55.4760889,10.3285191,22.46,133
37,55.4760644,10.3285630,19.39,132
38,55.4760336,10.3286180,18.74,133
39,55.4760030,10.3286771,18.74,132
40,55.4759704,10.3287387,18.79,133
41,55.4759376,10.3288017,18.83,133
42,55.4759041,10.3288633,18.92,133
43,55.4758722,10.3289222,18.92,133
44,55.4758593,10.3289459,17.71,132
45,55.4758570,10.3289520,16.15,132
46,55.4758572,10.3289538,14.87,131
47,55.4758565,10.3289500,13.37,131
48,55.4758574,10.3289479,13.16,137
49,55.4758581,10.3289468,13.40,138
50,55.4758588,10.3289469,13.59,138
51,55.4758593,10.3289475,13.70,138
52,55.4758597,10.3289483,13.76,138
53,55.4758599,10.3289487,13.80,139
54,55.4758596,10.3289488,13.74,139
55,55.4758595,10.3289495,13.71,139
56,55.4758413,10.3289722,14.87,215
57,55.4758123,10.3289940,15.01,278
58,55.4757824,10.3290183,14.82,268
59,55.4757577,10.3290412,14.29,233
60,55.4757558,10.3290408,13.46,220
