0,55.4750174,10.3268774,18.11,350
1,55.4750053,10.3268595,18.35,297
2,55.4750058,10.3268619,17.02,295
3,55.4752997,10.3262752,31.95,325
4,55.4753676,10.3261819,38.03,319
5,55.4754333,10.3260811,44.70,320
6,55.4755041,10.3260665,46.51,4
7,55.4755658,10.3260957,45.57,28
8,55.4755698,10.3261419,39.22,81
9,55.4755702,10.3261620,36.53,65
10,55.4755762,10.3261878,33.31,57
11,55.4755620,10.3262169,32.14,91
12,55.4754836,10.3263403,30.69,142
13,55.4753960,10.3264597,27.50,139
14,55.4753245,10.3265601,23.10,137
15,55.4752473,10.3266872,21.75,133
16,55.4751807,10.3267791,21.95,134
